line_name,line_url,line_start,line_stop,line_op_time,line_interval,line_price,line_company,line_up_times,line_station_up,line_station_up_len,line_station_down,line_station_down_len
北京专116路公交车路线,http://beijing.gongjiao.com/xianlu_36479,南皋公交场站,善各庄,5:30-22:00,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价2元,北京公交集团第七客运分公司,2015-04-05 03:39:37,"['南皋公交场站', '黑桥', '京旺家园中街南口', '京旺家园中街北口', '京旺家园七区南门', '京顺东街', '京顺路口', '马南里', '崔各庄东', '崔各庄', '地铁崔各庄站', '善各庄']",12,"['善各庄', '地铁崔各庄站', '崔各庄', '崔各庄东', '马南里', '京顺路口', '京顺东街', '京旺家园七区南门', '京旺家园中街北口', '京旺家园中街南口', '黑桥', '南皋公交场站']",12
北京专122路公交车路线,http://beijing.gongjiao.com/xianlu_36480,东湖,三元桥东站,5:30-22:30,未知,三元,北京公交集团第八客运分公司,2015-04-05 03:39:37,"['东湖', '望馨花园', '望京西路北口', '望湖公园', '世安家园', '南湖西园', '望京西路', '南湖西里', '望京桥北', '太阳宫公园', '夏家园', '曙光里小区', '尚家楼路', '太阳宫北街东口', '三元桥东站']",15,"['三元桥东站', '曙光里小区', '夏家园', '太阳宫公园', '望京桥北', '南湖西里', '望京西路', '南湖西园', '世安家园', '望湖公园', '望京西路北口', '望馨花园', '东湖']",13
北京836区间[张坊]公交车路线,http://beijing.gongjiao.com/xianlu_36481,张坊,天桥汽车站,4:35-18:30,未知,10公里以内票价2元，每增加5公里以内加价1元,北京八方达客运有限责任公司天桥分公司,2015-01-29 07:31:16,"['张坊', '张坊中学', '西白岱', '南白岱', '广禄庄', '塔照', '南尚乐', '北尚乐', '黑天桥', '房山辛庄', '王庄道口', '石窝', '纸房路口', '房山半壁店', '房山半壁店中学', '南正西', '南正东', '双磨', '南良各庄', '北正', '良各庄', '西长沟', '东长沟', '坟庄', '长沟', '长沟镇政府', '长沟中学', '云居寺道口', '长沟检查站北', '房山太和庄', '沿村', '东甘池', '二龙岗', '五侯道口', '龙门口', '房山岳各庄', '房山岳各庄中学', '尤家坟', '东周各庄', '瓦井', '南韩继', '龙宝峪', '新街', '大韩继(房易路)', '周口店路口', '周口村路口', '顾册', '房山南关立交桥南', '房山南关立交桥北', '仓房小区', '万宁桥', '房山火车站', '房山东大桥', '饶乐府', '房山马各庄', '大石河', '大董村', '紫草坞路口', '阎村', '岳各庄桥东', '六里桥东', '广安门内', '天桥汽车站']",63,"['天桥汽车站', '广安门内', '六里桥东', '阎村', '紫草坞路口', '大董村', '大石河', '房山马各庄', '饶乐府', '房山东大桥', '房山火车站', '万宁桥', '仓房小区', '房山南关立交桥北', '房山南关立交桥南', '顾册', '周口村路口', '周口店路口', '大韩继(房易路)', '新街', '龙宝峪', '南韩继', '瓦井', '东周各庄', '尤家坟', '房山岳各庄中学', '房山岳各庄', '龙门口', '五侯道口', '二龙岗', '东甘池', '沿村', '房山太和庄', '长沟检查站北', '云居寺道口', '长沟中学', '长沟镇政府', '长沟', '坟庄', '东长沟', '西长沟', '良各庄', '北正', '南良各庄', '双磨', '南正东', '南正西', '房山半壁店中学', '房山半壁店', '纸房路口', '石窝', '王庄道口', '房山辛庄', '黑天桥', '北尚乐', '南尚乐', '塔照', '广禄庄', '南白岱', '西白岱', '张坊中学', '张坊']",62
北京836区间[大韩继]公交车路线,http://beijing.gongjiao.com/xianlu_36482,大韩继,天桥汽车站,5:00-18:50,未知,10公里以内票价2元，每增加5公里以内加价1元,北京八方达客运有限责任公司天桥分公司,2015-01-29 07:31:16,"['大韩继', '大韩继村路口', '周口店路口', '周口村路口', '顾册', '房山南关立交桥南', '房山南关立交桥北', '仓房小区', '万宁桥', '房山火车站', '房山东大桥', '饶乐府', '房山马各庄', '大石河', '大董村', '紫草坞路口', '阎村', '岳各庄桥东', '六里桥东', '广安门内', '天桥汽车站']",21,"['天桥汽车站', '广安门内', '六里桥东', '阎村', '紫草坞路口', '大董村', '大石河', '房山马各庄', '饶乐府', '房山东大桥', '房山火车站', '万宁桥', '仓房小区', '房山南关立交桥北', '房山南关立交桥南', '顾册', '周口村路口', '周口店路口', '大韩继村路口', '大韩继']",20
北京920路[四司]公交车路线,http://beijing.gongjiao.com/xianlu_36483,川北小区南门,四司,未知,未知,10公里以内票价2元，每增加5公里以内加价1元,北京八方达客运有限责任公司延庆分公司,2015-01-29 07:31:16,"['川北小区南门', '石河营', '京张路口南', '日上批发市场', '延庆莲花池', '陈家营', '临河', '杨户庄村北', '奚官营', '阜高营西站', '阜高营东站', '南老君堂', '宝林寺', '西小庄科', '延庆东小营西站', '延庆东小营东站', '孔化营', '小南园', '永宁西关', '永宁车站', '永宁', '永宁中学', '永宁南关', '彭家窑路口', '南张庄', '西灰岭', '头司', '四司']",28,"['四司', '头司', '西灰岭', '南张庄', '彭家窑路口', '永宁南关', '永宁中学', '永宁', '永宁车站', '永宁西关', '小南园', '孔化营', '延庆东小营东站', '延庆东小营西站', '西小庄科', '宝林寺', '南老君堂', '阜高营东站', '阜高营西站', '奚官营', '杨户庄村北', '临河', '陈家营', '延庆莲花池', '日上批发市场', '京张路口南', '石河营', '川北小区南门']",28
北京891内环公交车路线,http://beijing.gongjiao.com/xianlu_36484,大峪中学,滨河小区,6:00-21:30,未知,无人售票线路，10公里以内票价2元，每增加5公里以内加价1元，不设找赎，最高票价3元,北京八方达客运有限责任公司河滩分公司,2015-04-05 03:40:12,"['大峪中学', '惠康家园北口', '葡萄嘴', '月季园小区', '新桥南街', '京煤集团', '大峪', '大峪南路小区', '黑山大街', '黑山北口', '中门寺街', '龙泉小学', '龙门三区', '龙山街', '和平西街东口', '和平街东口', '增北路南口', '龙门二区', '龙门一区', '小黑山', '河滩', '绿岛家园', '永定楼', '龙泉花园', '承泽苑', '倚山嘉园', '滨河小区']",27,"['四司', '头司', '西灰岭', '南张庄', '彭家窑路口', '永宁南关', '永宁中学', '永宁', '永宁车站', '永宁西关', '小南园', '孔化营', '延庆东小营东站', '延庆东小营西站', '西小庄科', '宝林寺', '南老君堂', '阜高营东站', '阜高营西站', '奚官营', '杨户庄村北', '临河', '陈家营', '延庆莲花池', '日上批发市场', '京张路口南', '石河营', '川北小区南门']",28
北京912路公交车路线,http://beijing.gongjiao.com/xianlu_36485,高家堡,丰益桥西,5:20-20:00,未知,10公里以内票价2元，每增加5公里以内加价1元，最高票价4元,北京八方达客运有限责任公司东直门分公司,2015-04-05 03:40:15,"['高家堡', '芦求路北口', '狼垡东桥北', '长丰园二区', '长丰园一区', '公交驾校', '芦花路', '小葆台', '地铁大葆台站', '世界公园', '田何庄', '六圈', '科丰桥南', '科丰桥北', '韩庄子南', '看丹桥', '看丹桥北', '正阳桥东', '丰台火车站', '东大街南口', '游泳场北路东口', '前泥洼', '西管头', '丰益桥西']",24,"['丰益桥西', '西管头', '前泥洼', '游泳场北路东口', '东大街南口', '丰台火车站', '正阳桥东', '看丹桥北', '看丹桥', '韩庄子南', '科丰桥北', '科丰桥南', '六圈', '田何庄', '世界公园', '地铁大葆台站', '小葆台', '芦花路', '公交驾校', '长丰园一区', '长丰园二区', '狼垡东桥北', '芦求路北口', '高家堡']",24
北京913路公交车路线,http://beijing.gongjiao.com/xianlu_36486,沙子营汽车站,海淀桥东,5:20-20:00,未知,10公里以内票价2元，每增加5公里以内加价1元，最高票价6元,北京八方达客运有限责任公司东直门分公司,2015-04-05 03:40:16,"['沙子营汽车站', '沙子营村西', '沙子营村北', '沙子营村南', '炼油厂', '沈家村', '李县坟', '奶西村', '奶子房北', '奶子房', '刘各庄北', '来广营路口西', '广顺桥南', '利泽中街西口', '利泽西街东口', '东湖', '北湖渠', '黄草湾', '新新家园', '利泽西街西口', '北苑路大屯北站', '地铁大屯路东站', '大屯东', '豹房', '洼里南口', '中科院地理所', '南沟泥河', '北沙滩桥东', '二里庄北口', '中国农业大学东校区', '六道口', '北京林业大学', '清华东路西口', '东升园', '保福寺桥西', '中关村一街', '中关村西', '海淀桥东']",38,"['海淀桥东', '中关村西', '中关村一街', '保福寺桥西', '东升园', '清华东路西口', '北京林业大学', '六道口', '中国农业大学东校区', '二里庄北口', '北沙滩桥东', '南沟泥河', '中科院地理所', '洼里南口', '豹房', '大屯东', '地铁大屯路东站', '北苑路大屯北站', '利泽西街西口', '新新家园', '黄草湾', '北湖渠', '东湖', '利泽西街东口', '利泽中街西口', '广顺桥南', '来广营路口西', '刘各庄北', '奶子房', '奶子房北', '奶西村', '李县坟', '沈家村', '炼油厂', '沙子营村南', '沙子营村北', '沙子营村西', '沙子营汽车站']",38
北京834路公交车路线,http://beijing.gongjiao.com/xianlu_36487,顺义半壁店,翟里村,6:00-20:00,未知,10公里以内票价2元，每增加5公里以内加价1元，最高票价4元,北京八方达客运有限责任公司东直门分公司,2015-04-05 03:40:28,"['顺义半壁店', '馨港车站', '沿河路口', '西大坨', '北河道口', '沿河', '南河路口', '南河', '郭庄路口', '永青村', '官庄路口', '堡子', '沮沟村', '北庄头', '南庄头', '港北村', '西赵村', '关辛庄', '翟里村']",19,"['翟里村', '关辛庄', '西赵村', '港北村', '南庄头', '北庄头', '沮沟村', '堡子', '官庄路口', '永青村', '郭庄路口', '南河', '南河路口', '沿河', '北河道口', '西大坨', '沿河路口', '馨港车站', '顺义半壁店']",19
北京935路公交车路线,http://beijing.gongjiao.com/xianlu_36488,顺义半壁店,东直门外,5:00-21:20,未知,10公里以内票价2元，每增加5公里以内加价1元,北京八方达客运有限责任公司东直门分公司,2015-04-05 03:40:29,"['顺义半壁店', '顺义半壁店西站', '樱花园北区', '樱花园', '首安公司', '岗山村南站', '楼台东口', '楼台路口', '苇沟', '后苇沟环岛', '康营小区', '康营中路', '东郊农场', '北皋', '东辛店', '望京村', '大山桥西', '京顺路丽都饭店', '三元桥', '左家庄', '东直门外']",21,"['东直门外', '东直门', '左家庄', '三元桥', '京顺路丽都饭店', '大山桥东', '五元桥西', '东辛店', '北皋', '东郊农场', '康营中路', '康营小区', '后苇沟环岛', '苇沟', '楼台路口', '楼台东口', '岗山村南站', '首安公司', '樱花园', '樱花园北区', '顺义半壁店西站', '顺义半壁店']",22
