Date,Symbol,Open,High,Low,Close,Adj Close,Volume
04/02/2019,AAPL,167.410004,171.660004,167.279999,171.25,170.518677,31495500
05/02/2019,AAPL,172.860001,175.080002,172.350006,174.179993,173.436157,36101600
06/02/2019,AAPL,174.649994,175.570007,172.850006,174.240005,173.495911,28239600
07/02/2019,AAPL,172.399994,173.940002,170.339996,170.940002,170.210007,31741700
08/02/2019,AAPL,168.990005,170.660004,168.419998,170.410004,170.410004,23820000
11/02/2019,AAPL,171.050003,171.210007,169.25,169.429993,169.429993,20993400
12/02/2019,AAPL,170.100006,171,169.699997,170.889999,170.889999,22283500
13/02/2019,AAPL,171.389999,172.479996,169.919998,170.179993,170.179993,22490200
14/02/2019,AAPL,169.710007,171.259995,169.380005,170.800003,170.800003,21835700
15/02/2019,AAPL,171.25,171.699997,169.75,170.419998,170.419998,24626800
19/02/2019,AAPL,169.710007,171.440002,169.490005,170.929993,170.929993,18972800
20/02/2019,AAPL,171.190002,173.320007,170.990005,172.029999,172.029999,26114400
21/02/2019,AAPL,171.800003,172.369995,170.300003,171.059998,171.059998,17249700
22/02/2019,AAPL,171.580002,173,171.380005,172.970001,172.970001,18913200
25/02/2019,AAPL,174.160004,175.869995,173.949997,174.229996,174.229996,21873400
26/02/2019,AAPL,173.710007,175.300003,173.169998,174.330002,174.330002,17006000
26/02/2018,BABA,194.460007,195.149994,190.649994,194.190002,194.190002,19463100
27/02/2018,BABA,192.589996,193.567001,187.210007,188.259995,188.259995,23218500
28/02/2018,BABA,187.25,188.240005,185,186.139999,186.139999,19367600
01/03/2018,BABA,186.179993,187.479996,180.050003,181.990005,181.990005,17286300
02/03/2018,BABA,178.009995,180.229996,175.449997,179.759995,179.759995,18909100
05/03/2018,BABA,179.410004,181.949997,177.070007,181.600006,181.600006,15656700
06/03/2018,BABA,185.190002,188.009995,184.820007,187.369995,187.369995,17856100
07/03/2018,BABA,184.369995,189.070007,184.320007,189.050003,189.050003,13728900
08/03/2018,BABA,189.050003,190.229996,186.570007,187.179993,187.179993,14331400
09/03/2018,BABA,189.639999,190.699997,188.009995,190.550003,190.550003,14208400
12/03/2018,BABA,192.300003,194.399994,190.899994,192.740005,192.740005,17826200
13/03/2018,BABA,193.880005,194.25,187.389999,188.410004,188.410004,14826700
14/03/2018,BABA,190.289993,193.630005,190.220001,192.559998,192.559998,20032300
15/03/2018,BABA,198.440002,201.5,196.520004,199.059998,199.059998,33504600
16/03/2018,BABA,198.399994,200.380005,197.259995,200.279999,200.279999,26948700
19/03/2018,BABA,198,198.429993,192.800995,194.529999,194.529999,19681400
20/03/2018,BABA,194.949997,199.210007,194.539993,198.949997,198.949997,11952000
21/03/2018,BABA,198.800003,198.880005,194.570007,195.300003,195.300003,12047300
22/03/2018,BABA,190.75,192.389999,184.600006,184.649994,184.649994,25355700
23/03/2018,BABA,186.850006,187.139999,180.401001,181.199997,181.199997,18714400
26/03/2018,BABA,187.889999,190.619995,184.320007,190.5,190.5,16758700
27/03/2018,BABA,192.240005,192.25,180.660004,181.889999,181.889999,16627900
28/03/2018,BABA,180.729996,183.440002,177.570007,178.910004,178.910004,20081100
29/03/2018,BABA,180.880005,185.130005,178.619995,183.539993,183.539993,16378900
02/04/2018,BABA,182.809998,183.509995,175.75,177.610001,177.610001,16028700
03/04/2018,BABA,179.259995,179.580002,173,174.669998,174.669998,19975100
04/04/2018,BABA,166.880005,172.410004,166.130005,172.070007,172.070007,24573600
05/04/2018,BABA,175.479996,176.559998,171.169998,172.570007,172.570007,18250900
06/04/2018,BABA,169.839996,172.270004,166.399994,167.520004,167.520004,18210000
09/04/2018,BABA,169.75,172.720001,168.610001,169.869995,169.869995,14717300
10/04/2018,BABA,175.100006,177.880005,173.850006,177.100006,177.100006,20436200
11/04/2018,BABA,176.479996,178.160004,174.740005,175.360001,175.360001,10170500
12/04/2018,BABA,175.929993,177.899994,174.559998,175.919998,175.919998,11133900
13/04/2018,BABA,176.720001,176.800003,171.070007,172.039993,172.039993,13526200
16/04/2018,BABA,172.009995,174.789993,171.009995,174.699997,174.699997,9876200
17/04/2018,BABA,174.830002,179.339996,174.830002,178.699997,178.699997,16285800
18/04/2018,BABA,178.899994,182.880005,177.639999,182.679993,182.679993,16972700
19/04/2018,BABA,183.259995,183.630005,179.520004,181.389999,181.389999,11989000
20/04/2018,BABA,179.360001,181.389999,177.529999,179.110001,179.110001,14473100
23/04/2018,BABA,178.630005,179.320007,174.710007,175.570007,175.570007,12033900
24/04/2018,BABA,177.630005,178,170.679993,173.089996,173.089996,14567500
25/04/2018,BABA,170.520004,171.300003,166.639999,170.220001,170.220001,17048000
26/04/2018,BABA,173.25,174.360001,172.050003,173.899994,173.899994,13398000
27/04/2018,BABA,177.110001,178.199997,174.009995,177.160004,177.160004,15062500
30/04/2018,BABA,178.089996,180.039993,177.050003,178.539993,178.539993,14654000
01/05/2018,BABA,177.580002,180.320007,177.440002,179.5,179.5,10787700
02/05/2018,BABA,180.800003,184.264008,180.110001,181.449997,181.449997,20681800
03/05/2018,BABA,183.5,183.589996,175.770004,182.449997,182.449997,26257600
04/05/2018,BABA,180.399994,190.600006,178.619995,188.889999,188.889999,57788300
07/05/2018,BABA,190.410004,196.600006,190.300003,195.350006,195.350006,29862200
08/05/2018,BABA,194.199997,197.339996,193.009995,196.309998,196.309998,21856300
09/05/2018,BABA,195.839996,197.380005,194.5,195.429993,195.429993,13780600
10/05/2018,BABA,196.300003,199.770004,195.160004,195.960007,195.960007,21295000
11/05/2018,BABA,196.399994,196.460007,193.380005,194.360001,194.360001,12741100
14/05/2018,BABA,195.899994,200,195.869995,198.639999,198.639999,17627100
15/05/2018,BABA,195.229996,196.779999,193.860001,196.610001,196.610001,12694900
16/05/2018,BABA,196.75,199.75,196.300003,198.110001,198.110001,12887500
17/05/2018,BABA,196,198.429993,195.570007,196.020004,196.020004,13470500
18/05/2018,BABA,196.429993,197.779999,194.720001,195,195,14242300
21/05/2018,BABA,197.800003,199.789993,196.399994,197.639999,197.639999,13830500
22/05/2018,BABA,198.300003,198.626999,195.699997,195.869995,195.869995,9700100
23/05/2018,BABA,193.880005,196.899994,192.800995,196.800003,196.800003,12520300
24/05/2018,BABA,198.119995,199.720001,195.697006,197.369995,197.369995,18527700
25/05/2018,BABA,197.570007,201.5,197.210007,199.199997,199.199997,21270000
29/05/2018,BABA,197.940002,202.279999,197,198,198,18768700
30/05/2018,BABA,199.699997,200.539993,197.5,197.979996,197.979996,13930600
31/05/2018,BABA,198,199.479996,196.850006,198.009995,198.009995,17982500
01/06/2018,BABA,199.5,204.990005,199.449997,204.339996,204.339996,23131900
04/06/2018,BABA,205.119995,209.75,204.729996,208.949997,208.949997,19357000
05/06/2018,BABA,209.949997,211.699997,207.130005,208.369995,208.369995,17787700
06/06/2018,BABA,209.860001,210.460007,207.289001,208.300003,208.300003,13800500
07/06/2018,BABA,207.460007,209,200.880005,203.619995,203.619995,26747800
08/06/2018,BABA,201.110001,206.229996,200.429993,205.070007,205.070007,17525200
11/06/2018,BABA,206.5,207.600006,205.009995,205.699997,205.699997,12061400
12/06/2018,BABA,206.949997,209.800003,206.899994,209.080002,209.080002,15910900
13/06/2018,BABA,209.440002,209.649994,206.600006,206.619995,206.619995,13844200
14/06/2018,BABA,207.720001,211.119995,207.509995,210.860001,210.860001,18838300
15/06/2018,BABA,207.490005,210.080002,206.009995,208,208,28665600
18/06/2018,BABA,205.160004,208.600006,203.880005,208.570007,208.570007,14645200
19/06/2018,BABA,203.529999,204.509995,199.5,204.429993,204.429993,24484200
20/06/2018,BABA,205.050003,207.229996,205.020004,206.229996,206.229996,15559600
21/06/2018,BABA,205.839996,206,201.039993,202.210007,202.210007,13963800
22/06/2018,BABA,203.380005,203.800003,200.25,202.009995,202.009995,9585000
